Iteration   Variation
1    0.333333
2    0.200000
3    0.090000
4    0.081000
5    0.062100
6    0.045360
7    0.039123
8    0.032513
9    0.025260
10    0.022458
11    0.019159
12    0.015629
13    0.013904
14    0.011932
15    0.010179
16    0.008951
17    0.007666
18    0.006739
19    0.005909
20    0.005061
21    0.004517
22    0.003969
23    0.003428
24    0.003059
25    0.002697
26    0.002364
27    0.002095
28    0.001838
29    0.001633
30    0.001444
31    0.001258
32    0.001130
33    0.000997
34    0.000877
35    0.000783
36    0.000690
37    0.000614
38    0.000544
39    0.000480
40    0.000430
41    0.000380
42    0.000337
43    0.000302
44    0.000267
45    0.000237
46    0.000212
47    0.000188
48    0.000168
49    0.000149
50    0.000131
51    0.000117
52    0.000103
53    0.000092
54    0.000083
55    0.000074
56    0.000066
57    0.000059
58    0.000052
59    0.000047
60    0.000042
61    0.000037
62    0.000034
63    0.000030
64    0.000027
65    0.000024
66    0.000021
67    0.000019
68    0.000017
69    0.000015
70    0.000014
71    0.000012
72    0.000011
73    0.000010
74    0.000009
75    0.000008
76    0.000007
77    0.000006
78    0.000006
79    0.000005
80    0.000004
81    0.000004
82    0.000004
83    0.000003
84    0.000003
85    0.000003
86    0.000002
87    0.000002
88    0.000002
89    0.000002
90    0.000001
91    0.000001
92    0.000001
93    0.000001
94    0.000001
95    0.000001
96    0.000001
97    0.000001
98    0.000001
99    0.000001
100    0.000000
101    0.000000
102    0.000000
103    0.000000
104    0.000000
105    0.000000
106    0.000000
107    0.000000
108    0.000000
109    0.000000
110    0.000000
111    0.000000
112    0.000000
113    0.000000
